Company_Cleaned,Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month
front desk ai,Technology,Bangalore,9.13,Other,"Speciale Invest, Others",2018,June
edureka,Edtech,Bangalore,16.6,Other,Leo Capital,2018,June
opentap,Fintech,Chennai,3.73,Other,Unknown High Netunknownworth Individuals,2018,May
bizongo,Consumer Internet,Mumbai,182.6,Private Equity,"B Capital, Interunknowntiounknownl Fiunknownnce Corporation (Ifc), Accel Partners And Idg Ventures",2018,May
disprz,It,Chennai,20.75,Other,"Il, Fs Private Equity, Kae Capital, Others",2018,May
paisadukan,Consumer Internet,Mumbai,1.87,Other,Unknown,2018,May
i3sysytems,Technology,Mumbai,8.3,Other,"Unitus Ventures, Behram Vakil And Jerxis Vandrevala",2018,May
earth food,Consumer Internet,Pune,7.88,Other,Rairah Corporation,2018,May
nykaa,Consumer Internet,Mumbai,199.2,Private Equity,"Sunil Munjal, Harsh Mariwala, Dalip Pathak And Others",2018,May
mfine,Healthcare,Bangalore,34.86,Private Equity,"Prime Venture Partners, Stellaris Venture Partners And Mayur Abhaya Srisrimal",2018,May
rocketium,Technology,Bangalore,2.49,Other,Blume Ventures,2018,May
milkbasket,Technology,Gurgaon,58.1,Private Equity,"Kalaari Capital, Unilever Ventures And Blume Ventures",2018,May
vola,Fintech,Bangalore,4.15,Other,Credika And Ununknownmed Angel Investors,2018,May
cashkumar,Consumer Internet,Bangalore,6.1,Other,Letsventure,2018,May
edyoo,Ecommerce,Bangalore,6.1,Other,Rs Shanbag,2018,May
aashiyaan,Fintech,Kolkata,16.6,Other,"Insistor, Oikocredit",2018,May
smartivity,Edtech,Delhi,16.6,Other,"Ashish Kacholi, S Chand Group",2018,May
bonphulapl,Cleantech,Delhi,2.43,Other,Atul Gupta And Saurabh Rastogi,2018,May
acko,Consumer Internet,Mumbai,99.6,Other,"Amazon, Ashish Dhawan, Catamaran Ventures, Nr Narayaunknown Murthy.",2018,May
hwell24,Healthcare,Mumbai,1.66,Other,"Prashant Mehta, Mitali Pawar, Nikhil G And Bhavesh P, R Rangaunknownthan, Oncotrust And Medintel Services Pvt. Ltd",2018,May
toffee,Consumer Internet,Gurgaon,12.45,Other,"Kalaari Capital, Omidyar Network And Accion Venture Labs",2018,May
tonetag,Technology,Bangalore,66.4,Private Equity,Amazon Inc. And Mastercard,2018,May
stellaps,Technology,Bangalore,116.2,Private Equity,"Indusage Partners, Bill, Melinda Gates Foundation, Qualcomm Venture, Abb Technology Ventures, Omnivore, Blume Ventures, Venture Highway And Beenext",2018,May
credright,Consumer Internet,Hyderabad,10.79,Other,"Accion Venture Lab, Yournest Venture Capital And Other Angel Investors",2018,May
fitternity,Consumer Internet,Mumbai,16.6,Private Equity,"Exfinity Venture, Saha Fund Partners, Arihant Patni Of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanunknown And Taparia Family Office.",2018,April
synctag,Technology,Coimbatore,2.55,Other,Subhkam Ventures And Mohit Khadaria,2018,April
finzy,Consumer Internet,Bangalore,10.79,Other,Unknown,2018,April
varthana,Fintech,Bangalore,456.5,Private Equity,"Chryscapital, Existing Investors, Elevar Equity, Lgt Impact, Omidyar Network And Kaizen Private Equity Also Participated In The Round",2018,April
indigolearn,Edtech,Hyderabad,1.25,Other,"Maheshwar Peri, Founder And Chairman Of Career Information Portal Careers360, And Jamshed Jeejeebhoy, Director At Byramjee Jeejeebhoy Pvt. Ltd Were Among The Angels",2018,April
vedantu,Edtech,Bangalore,83.0,Private Equity,"Accel, Tiger Global And Others",2018,April
kaleidofin,Fiinance,Chennai,23.24,Other,Omidyar Network. Blume Ventures And Professor Shlomo Benunknownhaim,2018,April
pipabella,Consumer Internet,Mumbai,8.3,Other,Fireside Ventures,2018,April
kriger campus,Edtech,Delhi,0.38,Other,Unknown,2018,April
traveltriangle,Consumer Internet,Gurgaon,99.6,Private Equity,"Fundamentum, Saif Partners, Bessemer Venture Partners, Rb Investments, Others",2018,April
letsmd,Healthcare,Delhi,8.3,Other,"Sri Capital, Waterbridge Ventures And Thinkuvate",2018,April
ayefinance,Fintech,Gurgaon,38.18,Debt,"Blueorchard Fiunknownnce Ltd, Hinduja Leyland Fiunknownnce And Intellegrow",2018,April
mintifi,Fintech,Mumbai,16.6,Other,Lok Capital,2018,April
icanstay,Consumer Internet,Delhi,4.15,Other,Mr. Manoj Prasad,2018,April
coverfox,Consumer Internet,Mumbai,182.6,Private Equity,"Interunknowntiounknownl Fiunknownnce Corporation, Transamerica And Others.",2018,April
fyle,Technology,Bangalore,9.13,Other,Pravega Ventures And Beenext,2018,April
true balance,Technology,Gurgaon,190.9,Private Equity,"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank And Ts Investment",2018,April
doxper,Healthcare,Mumbai,15.77,Other,Vidal Healthcare,2018,April
