Company_Cleaned,Total_Funding,Max_Funding,Num_Rounds,Sector,Location,Rounds,Years,Investors,Last_Year
naagin sauce,17.43,17.43,1,Food,Maharashtra,Seed,2025,8I Ventures,2025
nobrokercom,17.43,17.43,1,Real Estate,Bangalore,Series E,2021,"General Atlantic, Tiger Global, Moore Strategic Ventures",2021
bestdoc,17.43,17.43,1,Healthcare,Kochi,Unknown,2020,Unknown,2020
indyfint,17.43,17.43,1,Virtual Banking,Bangalore,Series A,2020,Saravaunknownn Adiseshan,2020
the healthy billions,17.43,17.43,1,Healthcare,Gurgaon,Private Equity,2018,"Blume Ventures, Healthquad And Fireside Ventures",2018
littlebox,17.43,17.43,1,Ecommerce,Noida,Seed,2025,"Huddle Ventures, Prath Ventures",2025
savart,17.43,17.43,1,Fintech,Hyderabad,Seed,2022,Beenext And 9Unicorns Accelerator Fund,2022
sanfe,17.43,9.13,2,Hygiene,Delhi,"Pre-Series A, Series A","2020, 2021","Sucseed Venture Partners, Birac, Elixir Pharma, Titan Capital, Letsventure, Ajay Garg, Tarun Sharma",2021
vaaree,17.43,17.43,1,Ecommerce,Bangalore,Pre-Series A,2025,"Peercapital, Peak Xv Surge",2025
reelsaga,17.43,17.43,1,Mobilefirst Entertainment,Mumbai,Other,2025,Picus Capital,2025
nivesh,17.009999999999998,13.28,2,Fintech,Noida,"Other, Pre-Series A","2018, 2021","Letsventure, Rajan Aunknownndan, Basab Pradhan, Vivek Khare And Bijoy George, Raghav Kapur, Indian Angel Network",2021
eat better,17.0,17.0,1,D2C Snacking,Jaipur,Pre-Series A,2025,Prath Ventures And Spring Marketing Capital,2025
anscer robotics,16.6,16.6,1,Deeptech Robotics,Bangalore,Seed,2025,Info Edge Ventures,2025
beyondskool,16.6,16.6,1,Edtech,Mumbai,Seed,2021,Tomorrow Capital,2021
bankerbay,16.6,16.6,1,Consumer Internet,Bangalore,Private Equity,2016,Undisclosed Investors,2016
mailmodo,16.6,16.6,1,Marketing & Advertising,Bangalore,Seed,2021,"Sequoia’S Surge, Y Combiunknowntor",2021
nexprt,16.6,16.6,1,Consulting,Delhi,Unknown,2021,Titan Capital,2021
quicksell,16.6,16.6,1,Ecommerce,Mumbai,Pre-Series A,2021,"Sanjay Baldwa, Ajay Jain",2021
dvara smartgold,16.6,16.6,1,Fintech,Mumbai,Pre-Series A,2022,"Axilor, Dvara Holdings",2022
trulymadly,16.6,16.6,1,Dating,Delhi,Pre-Series A,2021,"Gaurav Munjal, Snehil Khanor",2021
thefragaria,16.6,16.6,1,Agritech,Tamil Nadu,Seed,2025,Weh Ventures,2025
hiwipay,16.6,16.6,1,Fintech,Mumbai,Seed,2025,"Unicorn India Ventures, Dewang Neralla'S Family Office, Jupiter Metaverse Llp, Ritesh Malik, Mitesh Shah, Nilesh Doshi",2025
